# 1,000 known or interesting landmarks, from Wikidata (CC0) --
# UNESCO World Heritage Sites (wdt:P1435 wd:Q9259), named icons, and
# natural features. Selection and use: games/hue-and-cry/landmarks.py
# name	country	lat	lon	source	sitelinks
Thar Desert	India	26.98444	71.00167	feature	83
Western Ghats	India	10.16972	77.06111	unesco	83
Hadrian's Wall	United Kingdom	55.02417	-2.29250	unesco	82
Kairouan	Tunisia	35.68333	10.10000	unesco	81
Delos	Greece	37.39121	25.27122	unesco	80
Anuradhapura	Sri Lanka	8.33500	80.41083	unesco	79
Assur	Iraq	35.45667	43.26250	unesco	79
Bagan	Myanmar	21.17250	94.86000	unesco	79
Death Valley	United States	36.45694	-116.86528	feature	79
Shahrisabz	Uzbekistan	39.05000	66.83333	unesco	79
Susa	Iran	32.18944	48.25611	unesco	79
Teotihuacan	Mexico	19.69250	-98.84389	unesco	79
Göbekli Tepe	Turkey	37.22306	38.92250	iconic	78
Loch Ness	United Kingdom	57.30000	-4.45000	iconic	78
Virunga National Park	Democratic Republic of the Congo	-0.50000	29.50000	unesco	78
Agra Fort	India	27.17958	78.02130	unesco	77
Great Victoria Desert	Australia	-29.15222	129.25972	feature	77
Cave of Altamira	Spain	43.38333	-4.11667	unesco	76
Lumbini	Nepal	27.48140	83.27583	unesco	76
Aeolian Islands	Italy	38.49667	14.93583	unesco	75
Eyjafjallajökull	Iceland	63.63333	-19.60000	iconic	75
Giant's Causeway	United Kingdom	55.24083	-6.51167	unesco	75
Great Zimbabwe	Zimbabwe	-20.27000	30.93300	unesco	75
Kaziranga National Park	India	26.66667	93.35000	unesco	75
Red Fort	India	28.65583	77.24028	unesco	75
Serengeti National Park	Tanzania	-2.40000	34.60000	unesco	75
Cyrene	Libya	32.82304	21.85727	unesco	74
Ellora Caves	India	20.02639	75.17917	unesco	74
Himeji Castle	Japan	34.83944	134.69361	unesco	74
Notre-Dame de Chartres	France	48.44778	1.48778	unesco	73
Porto Venere	Italy	44.05000	9.83333	unesco	73
Roswell	United States	33.39417	-104.52278	iconic	73
Taxila	Pakistan	33.74569	72.81521	unesco	73
Nalanda Mahavihara	India	25.13680	85.44383	unesco	72
Qutb Minar	India	28.52435	77.18525	unesco	72
Robben Island	South Africa	-33.80500	18.37000	unesco	72
Table Mountain	South Africa	-33.96216	18.41352	iconic	72
Times Square	United States	40.75750	-73.98583	iconic	72
Dessau	Germany	51.83417	12.24611	unesco	71
Meteora	Greece	39.71250	21.62667	unesco	71
Prambanan Temple	Indonesia	-7.75200	110.49122	unesco	71
Everglades National Park	United States	25.31250	-80.68750	unesco	70
Masada	Israel	31.31556	35.35389	unesco	70
Merv	Turkmenistan	37.66278	62.19250	unesco	70
Mount Tai	China	36.26667	117.10000	unesco	70
Plitvice Lakes National Park	Croatia	44.88045	15.61604	unesco	70
Tiwanaku	Bolivia	-16.55472	-68.67333	unesco	70
Çatalhöyük	Turkey	37.66750	32.82833	unesco	70
Djerba	Tunisia	33.78370	10.88330	unesco	69
Grand Canal	China	30.26139	120.22389	unesco	69
Hampi	India	15.33455	76.46216	unesco	69
Hiroshima Peace Memorial	Japan	34.39556	132.45361	unesco	69
Humayun's Tomb	India	28.59326	77.25060	unesco	69
Itsukushima Shrine	Japan	34.29577	132.32011	unesco	69
Lascaux	France	45.05377	1.17096	iconic	69
Leptis Magna	Libya	32.63833	14.29050	unesco	69
Mahabodhi Temple	India	24.69600	84.99136	unesco	69
Nazca Lines	Peru	-14.69750	-75.13500	iconic	69
Shibam	Yemen	15.92694	48.62667	unesco	69
Tassili n'Ajjer	Algeria	25.66667	9.00000	unesco	69
Aït Benhaddou	Morocco	31.05000	-7.13333	unesco	68
Kathmandu Valley	Nepal	27.70394	85.30858	unesco	68
Ngorongoro Conservation Area	Tanzania	-3.21000	35.46000	unesco	68
Temple of Heaven	China	39.88220	116.40660	unesco	68
Bam	Iran	29.10611	58.35694	unesco	67
Curonian Spit	Lithuania	55.27444	20.97083	unesco	67
Naqsh-e Jahan Square	Iran	32.65822	51.67733	unesco	67
Palenque	Mexico	17.48417	-92.04639	unesco	67
Selimiye Mosque	Turkey	41.67806	26.55944	unesco	67
Area 51	United States	37.23333	-115.80833	iconic	66
Bikini Atoll	Marshall Islands	11.60000	165.40000	iconic	66
Chogha Zanbil	Iran	32.00833	48.52083	unesco	66
Huangshan	China	30.12500	118.16667	unesco	66
Kakadu National Park	Australia	-13.00547	132.51951	unesco	66
Okavango Delta	Botswana	-19.40000	22.90000	iconic	66
Pasargadae	Iran	30.20000	53.17944	unesco	66
Alcatraz Island	United States	37.82672	-122.42283	iconic	65
Danube Delta	Romania	45.20000	29.50000	unesco	65
Komodo National Park	Indonesia	-8.65162	119.57657	unesco	65
Macquarie Island	Australia	-54.63000	158.86000	unesco	65
Mogao Caves	China	40.03722	94.80417	unesco	65
Aachen Cathedral	Germany	50.77475	6.08392	unesco	64
Dasht-e Lut	Iran	30.26389	59.24111	unesco	64
Prague Castle	Czech Republic	50.09000	14.40000	feature	64
Saint Sophia Cathedral	Ukraine	50.45278	30.51444	unesco	64
Salar de Uyuni	Bolivia	-20.33333	-67.70000	iconic	64
Struve Geodetic Arc	Belarus	52.28944	25.64944	unesco	64
Appian Way	Italy	41.84139	12.53250	unesco	63
Surtsey	Iceland	63.30403	-20.60471	unesco	63
Abu Mena	Egypt	30.84105	29.66349	unesco	62
Białowieża Forest	Belarus	52.75000	23.95000	unesco	62
Bosra	Syria	32.51667	36.48333	unesco	62
Butrint	Albania	39.75707	20.01663	unesco	62
Church of the Nativity	Palestine	31.70431	35.20758	unesco	62
Grand Canyon National Park	United States	36.05530	-112.12200	unesco	62
Hatra	Iraq	35.58806	42.71833	unesco	62
K'gari	Australia	-25.24000	153.15000	unesco	62
Lorentz National Park	Indonesia	-4.62973	137.97268	unesco	62
Nesebar	Bulgaria	42.65951	27.72472	unesco	62
Neusiedl Lake	Austria	47.83333	16.75000	unesco	62
Okapi Wildlife Reserve	Democratic Republic of the Congo	2.00000	28.50000	unesco	62
Sigiriya	Sri Lanka	7.95694	80.75972	unesco	62
Thingvellir National Park	Iceland	64.25806	-21.12500	unesco	62
Hội An	Vietnam	15.87767	108.33265	unesco	61
Köneürgenç	Turkmenistan	42.31667	59.15861	unesco	61
Los Glaciares National Park	Argentina	-50.33053	-73.23416	unesco	61
Mosque-Cathedral of Cordoba	Spain	37.87887	-4.77934	unesco	61
Mount Nemrut	Turkey	37.98074	38.74083	unesco	61
Summer Palace	China	39.99750	116.26890	unesco	61
Teide National Park	Spain	28.27646	-16.64267	unesco	61
Chitwan National Park	Nepal	27.50000	84.33333	unesco	60
M'banza-Kongo	Angola	-6.26667	14.25000	unesco	60
Mesa Verde National Park	United States	37.26038	-108.49444	unesco	60
Niokolo-Koba National Park	Senegal	13.07417	-12.72222	unesco	60
Omo River	Ethiopia	8.25630	37.48990	unesco	60
Wadi Rum	Jordan	29.57650	35.41993	unesco	60
Yakushima	Japan	30.35861	130.52861	unesco	60
Ani	Turkey	40.50750	43.57278	unesco	59
Chauvet Cave	France	44.38812	4.41614	unesco	59
Comoé National Park	Ivory Coast	9.16361	-3.77250	unesco	59
Drottningholm Palace	Sweden	59.32169	17.88638	unesco	59
Fukushima Daiichi Nuclear Power Plant	Japan	37.42139	141.03250	iconic	59
Garamba National Park	Democratic Republic of the Congo	4.19559	29.48093	unesco	59
Golestan Palace	Iran	35.67972	51.42028	unesco	59
Gorée	Senegal	14.66694	-17.39833	unesco	59
Island of Mozambique	Mozambique	-15.03667	40.73278	unesco	59
Lake District	United Kingdom	54.50000	-3.16667	unesco	59
Pont du Gard	France	43.94730	4.53550	unesco	59
Sagarmatha National Park	Nepal	27.89107	86.69303	unesco	59
Timgad	Algeria	35.48424	6.46867	unesco	59
Amalfi Coast	Italy	40.63333	14.60000	unesco	58
Bhimbetka rock shelters	India	22.93863	77.61438	unesco	58
Castel del Monte	Italy	41.08475	16.27093	unesco	58
Edinburgh Castle	United Kingdom	55.94870	-3.20073	feature	58
Hegra	Saudi Arabia	26.81417	37.94750	unesco	58
Museum Island	Germany	52.52139	13.39556	unesco	58
Salonga National Park	Democratic Republic of the Congo	-1.76516	21.49723	unesco	58
Sarnath	India	25.38111	83.02139	unesco	58
Valdes Peninsula	Argentina	-42.50000	-63.93333	unesco	58
Wartburg	Germany	50.96611	10.30639	feature	58
Zabid	Yemen	14.20000	43.31667	unesco	58
Beemster	Netherlands	52.55000	4.92780	unesco	57
Canaima National Park	Venezuela	5.31934	-61.79535	unesco	57
Canal du Midi	France	43.61111	1.41833	unesco	57
Kasubi Tombs	Uganda	0.32917	32.55333	unesco	57
Kinabalu Park	Malaysia	6.15000	116.65000	unesco	57
Malbork Castle	Poland	54.03972	19.02778	feature	57
Notre-Dame d'Amiens	France	49.89457	2.30210	unesco	57
Solovetsky Islands	Russia	65.02444	35.71056	unesco	57
Speyer Cathedral	Germany	49.31722	8.44250	unesco	57
Sundarbans National Park	India	21.75000	88.75000	unesco	57
Wachau	Austria	48.36444	15.43417	unesco	57
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe	Albania	49.00000	15.00000	unesco	56
Chernobyl Nuclear Power Plant	Ukraine	51.38955	30.09915	iconic	56
Copán	Honduras	14.83796	-89.14244	unesco	56
Elephanta Caves	India	18.96333	72.93139	unesco	56
Grand-Place	Belgium	50.84671	4.35254	unesco	56
Jiuzhaigou Valley	China	33.20000	103.90000	unesco	56
Kahuzi-Biéga National Park	Democratic Republic of the Congo	-2.31481	28.75867	unesco	56
Kevladev National Park	India	27.16667	77.51667	unesco	56
Palace of Fontainebleau	France	48.40222	2.70056	unesco	56
Polonnaruwa	Sri Lanka	7.93333	81.00000	unesco	56
Svalbard Global Seed Vault	Norway	78.23587	15.49137	iconic	56
Burgos Cathedral	Spain	42.34081	-3.70447	unesco	55
Château de Chambord	France	47.61611	1.51722	unesco	55
Cueva de las Manos	Argentina	-47.15000	-70.66667	unesco	55
Djemila	Algeria	36.32056	5.73667	unesco	55
Forth Bridge	United Kingdom	55.99840	-3.38760	unesco	55
Hawaiʻi Volcanoes National Park	United States	19.40083	-155.12361	unesco	55
Hofburg Palace	Austria	48.20639	16.36528	feature	55
Konark Sun Temple	India	19.88744	86.09460	unesco	55
Kronborg Castle	Denmark	56.03861	12.62194	feature	55
L'Anse aux Meadows	Canada	51.59527	-55.53122	unesco	55
Manovo-Gounda St. Floris National Park	Central African Republic	8.50000	21.50000	unesco	55
Olympic National Park	United States	47.70000	-123.75000	unesco	55
Selous Game Reserve	Tanzania	-9.00000	37.40000	unesco	55
Simien Mountains National Park	Ethiopia	13.18333	38.06667	unesco	55
Stone Town	Tanzania	-6.16494	39.19879	unesco	55
Tadrart Acacus	Libya	24.83343	10.33332	unesco	55
Tomb of Askia	Mali	16.28972	-0.04444	unesco	55
Cahokia	United States	38.65389	-90.06444	unesco	54
Chhatrapati Shivaji Maharaj Terminus	India	18.93980	72.83550	unesco	54
Cidade Velha	Cape Verde	14.91667	-23.60417	unesco	54
Hortobágy National Park	Hungary	47.59458	21.15678	unesco	54
Sanchi	India	23.47944	77.73972	unesco	54
Santa Maria delle Grazie	Italy	45.46583	9.17111	unesco	54
Tropical Rainforest Heritage of Sumatra	Indonesia	-2.50000	101.50000	unesco	54
Wulingyuan	China	29.34556	110.46667	unesco	54
Wuyi Mountains	China	27.71667	117.68333	unesco	54
Calakmul	Mexico	18.10500	-89.81056	unesco	53
Garajonay National Park	Spain	28.12625	-17.23722	unesco	53
Gelati Monastery	Georgia	42.29472	42.76806	unesco	53
Jameh Mosque of Isfahan	Iran	32.66972	51.68528	unesco	53
Jerónimos Monastery	Portugal	38.69785	-9.20560	unesco	53
Mammoth Cave National Park	United States	37.18694	-86.10111	unesco	53
Mystras	Greece	37.07400	22.36730	unesco	53
Mỹ Sơn	Vietnam	15.76324	108.12445	unesco	53
Nan Madol	Federated States of Micronesia	6.84194	158.33222	unesco	53
Shirakami-Sanchi	Japan	40.47000	140.13000	unesco	53
Soltaniyeh	Iran	36.43472	48.79750	unesco	53
St Kilda	United Kingdom	57.81500	-8.58750	unesco	53
Suomenlinna	Finland	60.14361	24.98444	unesco	53
Tower of Hercules	Spain	43.38583	-8.40639	unesco	53
Tsodilo	Botswana	-18.77167	21.75417	unesco	53
Volubilis	Morocco	34.07250	-5.55480	unesco	53
Wood Buffalo National Park	Canada	59.38330	-112.98300	unesco	53
prehistoric pile dwellings around the Alps	Austria	47.67460	9.12099	unesco	53
Aldabra	Seychelles	-9.41639	46.41639	unesco	52
Anjar	Lebanon	33.72583	35.92972	unesco	52
Antonine Wall	United Kingdom	55.96700	-4.06700	unesco	52
Blenheim Palace	United Kingdom	51.84136	-1.36095	unesco	52
Chan Chan	Peru	-8.11056	-79.07500	unesco	52
Hadrian's Villa	Italy	41.94194	12.77528	unesco	52
Henderson Island	United Kingdom	-24.37500	-128.32500	unesco	52
Hollókő	Hungary	47.99611	19.59167	unesco	52
Jaú National Park	Brazil	-2.17028	-62.61722	unesco	52
Kew Gardens	United Kingdom	51.47889	-0.29361	unesco	52
Longmen Grottoes	China	34.55556	112.46972	unesco	52
Mehmed Paša Sokolović Bridge	Bosnia and Herzegovina	43.78248	19.28794	unesco	52
Preah Vihear Temple	Cambodia	14.39056	104.68028	unesco	52
Reichenau Island	Germany	47.69306	9.06306	unesco	52
Rocas Atoll	Brazil	-3.86639	-33.80194	unesco	52
Salt	Jordan	32.03917	35.72722	unesco	52
Skellig Michael	Ireland	51.77111	-10.54056	unesco	52
Taï National Park	Ivory Coast	5.75000	-7.12000	unesco	52
Bourges Cathedral	France	47.08222	2.39917	unesco	51
Carlsbad Caverns National Park	United States	32.17528	-104.44389	unesco	51
Citadel of the Hồ Dynasty	Vietnam	20.07806	105.60472	unesco	51
Devils Tower	United States	44.59028	-104.71528	iconic	51
Doñana National Park	Spain	37.02000	-6.44000	unesco	51
Great Smoky Mountains National Park	United States	35.61111	-83.42500	unesco	51
Iguazú National Park	Argentina	-25.70500	-54.24833	unesco	51
Inca road system	Argentina	-18.25000	-69.59167	unesco	51
Manas National Park	India	26.71667	90.93333	unesco	51
Pirin National Park	Bulgaria	41.67222	23.48778	unesco	51
Qal'at Bani Hammad	Algeria	35.81389	4.79333	unesco	51
Ujung Kulon National Park	Indonesia	-6.75000	105.33333	unesco	51
Alamut Castle	Iran	36.44472	50.58611	feature	50
Banc d'Arguin National Park	Mauritania	20.23472	-16.10889	unesco	50
Changdeokgung	South Korea	37.57944	126.99167	unesco	50
Ecbatana	Iran	34.80650	48.51625	unesco	50
Gobustan State Historical and Cultural Reserve	Azerbaijan	40.10556	49.38889	unesco	50
Itchan Kala	Uzbekistan	41.37772	60.35948	unesco	50
Mosque City of Bagerhat	Bangladesh	22.66097	89.75855	unesco	50
Old Town	Czech Republic	50.08470	14.42030	unesco	50
Philippi	Greece	41.01306	24.28639	unesco	50
Piazza del Duomo, Pisa	Italy	43.72343	10.39478	unesco	50
Puerto Princesa Subterranean River National Park	Philippines	10.16667	118.91667	unesco	50
Quebrada de Humahuaca	Argentina	-23.19986	-65.34886	feature	50
Shahr-e Sukhteh	Iran	30.59528	61.33194	unesco	50
Takht-e Soleyman	Iran	36.60472	47.23417	unesco	50
Virgin Komi Forests	Russia	65.06667	60.15000	unesco	50
Vlkolínec	Slovakia	49.03970	19.27840	unesco	50
Boyana Church	Bulgaria	42.64467	23.26617	unesco	49
Cradle of Humankind	South Africa	-25.96723	27.66244	unesco	49
Fasil Ghebbi	Ethiopia	12.60806	37.46972	unesco	49
Gunung Mulu National Park	Malaysia	4.04250	114.81250	unesco	49
Khirokitia	Cyprus	34.79673	33.34372	unesco	49
Mir Castle Complex	Belarus	53.45127	26.47289	unesco	49
Nisa	Turkmenistan	37.95115	58.21241	unesco	49
Ponte Vecchio	Italy	43.76799	11.25319	unesco	49
Quiriguá	Guatemala	15.26944	-89.04028	unesco	49
Semmering railway	Austria	47.64300	15.83100	unesco	49
Skara Brae	United Kingdom	59.04871	-3.34175	iconic	49
Tournai Cathedral	Belgium	50.60650	3.38890	unesco	49
Urnes Stave Church	Norway	61.29806	7.32250	unesco	49
Vredefort crater	South Africa	-26.81667	27.41667	unesco	49
Yungang Grottoes	China	40.10972	113.12222	unesco	49
Centennial Hall	Poland	51.10694	17.07722	unesco	48
Fort Jesus Museum	Kenya	-4.07117	39.68206	unesco	48
Lençóis Maranhenses National Park	Brazil	-2.48333	-43.13333	unesco	48
Madara Rider	Bulgaria	43.27737	27.11889	unesco	48
Mount Nimba Strict Nature Reserve	Guinea	7.60300	-8.39100	unesco	48
Mount Wutai	China	39.08139	113.56694	unesco	48
Newgrange	Ireland	53.69473	-6.47557	iconic	48
Pattadakal Group of Monuments	India	15.94833	75.81667	unesco	48
Poblet Monastery	Spain	41.38083	1.08250	unesco	48
Purnululu National Park	Australia	-17.44879	128.54605	unesco	48
Qal’at al Bahrain	Bahrain	26.23361	50.52056	unesco	48
Rhine Falls	Switzerland	47.67722	8.61583	feature	48
Roskilde Cathedral	Denmark	55.64267	12.08031	unesco	48
Spiš Castle	Slovakia	49.00056	20.76833	unesco	48
Trinity Lavra of St. Sergius	Russia	56.31035	38.13065	unesco	48
Tsingy de Bemaraha Strict Nature Reserve	Madagascar	-18.66667	44.75139	unesco	48
Valley of Flowers National Park	India	30.73000	79.61750	unesco	48
Vatnajökull National Park	Iceland	64.50000	-17.00000	unesco	48
Villa Romana del Casale	Italy	37.36472	14.33455	unesco	48
Xanadu	China	42.35802	116.18516	unesco	48
Škocjan Caves	Slovenia	45.66500	13.99472	unesco	48
Bam Citadel	Iran	29.11686	58.36847	unesco	47
Belize Barrier Reef	Belize	17.26250	-88.05278	unesco	47
Bryggen	Norway	60.39750	5.32333	unesco	47
Buda Castle	Hungary	47.49611	19.03972	unesco	47
Bwindi Impenetrable National Park	Uganda	-1.05000	29.71667	unesco	47
Dead Cities	Syria	36.33417	36.84417	unesco	47
Dengfeng	China	34.46031	113.02803	unesco	47
Dettifoss	Iceland	65.82192	-16.38817	feature	47
Dholavira	India	23.88611	70.21667	unesco	47
Djoudj National Bird Sanctuary	Senegal	16.35849	-16.27410	unesco	47
Gullfoss	Iceland	64.32733	-20.11940	feature	47
Hypogeum of Ħal Saflieni	Malta	35.86956	14.50688	unesco	47
Independence Hall	United States	39.94889	-75.15000	unesco	47
Jantar Mantar	India	26.92472	75.82500	unesco	47
M'zab	Algeria	32.48722	3.68139	unesco	47
Mausoleum of Khoja Ahmed Yasawi	Kazakhstan	43.29764	68.27104	unesco	47
Monte San Giorgio	Switzerland	45.91667	8.95000	unesco	47
Nahanni National Park Reserve	Canada	61.59710	-125.85200	unesco	47
Plain of Jars	Laos	19.43111	103.15250	unesco	47
Putorana Plateau	Russia	69.00000	93.00000	unesco	47
Qazan Kremlin	Russia	55.79744	49.10724	unesco	47
Rohtas Fort	Pakistan	32.96528	73.57642	unesco	47
Serra da Capivara National Park	Brazil	-8.66670	-42.55000	unesco	47
Singapore Botanic Gardens	Singapore	1.31510	103.81620	unesco	47
Srebarna Nature Reserve	Bulgaria	44.11112	27.07221	unesco	47
Tongariro National Park	New Zealand	-39.20000	175.58333	unesco	47
Uluṟu-Kata Tjuṯa National Park	Australia	-25.32208	130.98573	unesco	47
Val d'Orcia	Italy	43.06667	11.55000	unesco	47
Villa Tugendhat	Czech Republic	49.20722	16.61583	unesco	47
Villa d'Este	Italy	41.96250	12.79611	unesco	47
Wadi Al-Hitan	Egypt	29.27083	30.04389	unesco	47
Yinxu	China	36.12250	114.31861	unesco	47
Bandiagara Escarpment	Mali	14.41667	-3.31667	unesco	46
Dougga	Tunisia	36.42333	9.22028	unesco	46
Great Blue Hole	Belize	17.31556	-87.53444	iconic	46
